Year,N,Bruttoprocent,Nettoprocent,Fieldwork
1986,1 624,65,68,SCB
1987,1 672,67,70,SOM-institutet
1988,1 643,66,69,SCB
1989,1 578,63,66,IMU-Testologen
1990,1 582,63,66,IMU-Testologen
1991,1 573,63,67,IMU-Testologen
1992,1 889,67,71,Sifo
1993,1 857,66,70,Sifo
1994,1 704,61,67,Gallup
1995,1 777,63,65,Temo
1996,1 779,63,69,Gallup
1997,1 754,63,69,Gallup
1998,3 561,64,68,Sifo
1999,3 503,63,67,Kinnmark
2000,3 546,59,63,Kinnmark
2001,3 638,61,67,Kinnmark
2002,3 609,60,65,Kinnmark
2003,3 675,61,66,Kinnmark
2004,3 612,60,65,Kinnmark
2005,3 499,58,63,Kinnmark
2006,3 336,55,60,ScandInfo
2007,3 435,57,63,Kinnmark
2008,3 259,54,58,Kinnmark
2009,4 926,55,59,PFM Research
2010,5 007,56,60,Kinnmark
2011,4 720,52,57,Kinnmark
2012,6 298,52,57,Kinnmark
2013,8 406,49,53,Kinnmark
2014,6 876,51,54,Kinnmark
2015,8 261,49,51,Kinnmark
