"Född i Sverige eller utlandet 2008-2015"

"Område","Ålder","Kön","Född i Sverige 2008","Född i Sverige 2009","Född i Sverige 2010","Född i Sverige 2011","Född i Sverige 2012","Född i Sverige 2013","Född i Sverige 2014","Född i Sverige 2015","Född i utlandet 2008","Född i utlandet 2009","Född i utlandet 2010","Född i utlandet 2011","Född i utlandet 2012","Född i utlandet 2013","Född i utlandet 2014","Född i utlandet 2015"
"131 Angered","0 år","Man",423,408,413,416,405,398,427,414,..,..,..,..,..,6,..,..
"131 Angered","0 år","Kvinna",417,379,425,407,402,399,385,426,..,..,..,..,..,..,5,6
"131 Angered","1-5 år","Man",1837,1872,1871,1898,1913,1956,1934,1928,117,126,121,129,122,132,145,150
"131 Angered","1-5 år","Kvinna",1763,1785,1783,1859,1921,1956,1943,1922,103,113,110,98,99,136,131,142
"131 Angered","6-15 år","Man",2879,2852,2864,2843,2868,2888,2952,2965,633,645,643,651,659,736,769,823
"131 Angered","6-15 år","Kvinna",2869,2850,2813,2789,2795,2826,2898,2973,600,622,630,632,649,686,747,749
"131 Angered","16-18 år","Man",708,753,779,822,822,795,762,768,384,340,320,311,298,320,367,373
"131 Angered","16-18 år","Kvinna",767,772,807,814,804,765,743,730,361,360,338,318,312,354,339,372
"131 Angered","19-24 år","Man",1104,1119,1138,1182,1266,1294,1335,1407,1167,1165,1100,1038,965,932,928,902
"131 Angered","19-24 år","Kvinna",1020,1068,1143,1204,1273,1306,1348,1360,1086,1108,1099,1070,1052,1013,992,965
"131 Angered","25-44 år","Man",2309,2272,2170,2104,2066,2082,2044,2052,4588,4703,4919,5061,5122,5198,5348,5441
"131 Angered","25-44 år","Kvinna",2204,2120,2073,2007,1978,1953,1942,1962,4572,4608,4729,4788,4901,5086,5146,5142
"131 Angered","45-64 år","Man",2130,2082,2039,2034,1972,1907,1865,1803,3498,3653,3728,3816,3846,3946,4024,4125
"131 Angered","45-64 år","Kvinna",2050,2016,1940,1918,1864,1794,1746,1680,3255,3388,3498,3565,3610,3678,3814,3898
"131 Angered","65-74 år","Man",684,727,777,798,827,867,885,897,720,734,792,844,900,946,990,1031
"131 Angered","65-74 år","Kvinna",651,674,737,782,807,824,823,828,692,717,737,764,793,824,876,955
"131 Angered","75-84 år","Man",355,349,360,347,353,362,364,364,208,229,251,281,298,325,351,379
"131 Angered","75-84 år","Kvinna",402,392,368,373,366,364,375,389,375,373,374,389,414,446,448,459
"131 Angered","85- år","Man",93,100,94,101,101,90,90,78,21,28,28,32,34,44,48,52
"131 Angered","85- år","Kvinna",194,188,185,171,164,164,160,151,95,98,107,118,127,127,137,149
"132 Östra Göteborg","0 år","Man",356,310,357,339,373,368,392,414,..,..,..,..,..,..,..,8
"132 Östra Göteborg","0 år","Kvinna",300,341,390,369,374,401,398,395,..,..,..,..,..,..,5,..
"132 Östra Göteborg","1-5 år","Man",1319,1388,1406,1486,1536,1571,1596,1654,95,115,104,82,88,94,106,137
"132 Östra Göteborg","1-5 år","Kvinna",1244,1295,1363,1472,1540,1583,1672,1701,97,111,98,106,104,101,94,113
"132 Östra Göteborg","6-15 år","Man",1779,1810,1833,1879,1941,1956,2070,2125,461,465,495,501,536,571,626,615
"132 Östra Göteborg","6-15 år","Kvinna",1685,1714,1726,1786,1845,1932,1939,2009,432,466,462,454,491,531,598,617
"132 Östra Göteborg","16-18 år","Man",509,483,482,462,471,456,471,463,240,254,211,210,218,260,285,306
"132 Östra Göteborg","16-18 år","Kvinna",478,473,454,461,462,457,501,489,219,220,220,209,214,220,224,258
"132 Östra Göteborg","19-24 år","Man",1530,1478,1500,1546,1523,1476,1493,1435,779,880,876,828,816,737,748,744
"132 Östra Göteborg","19-24 år","Kvinna",1763,1773,1819,1842,1801,1755,1749,1681,876,910,901,838,819,780,805,765
"132 Östra Göteborg","25-44 år","Man",3705,3627,3614,3594,3677,3779,3865,4025,3744,3970,4205,4392,4437,4369,4554,4653
"132 Östra Göteborg","25-44 år","Kvinna",3382,3299,3292,3357,3445,3551,3702,3853,3325,3524,3656,3863,3950,3996,4171,4267
"132 Östra Göteborg","45-64 år","Man",2302,2315,2273,2281,2272,2267,2269,2231,2451,2525,2634,2707,2747,2799,2869,2945
"132 Östra Göteborg","45-64 år","Kvinna",2134,2123,2102,2054,2062,2058,2012,2001,2145,2251,2294,2316,2385,2442,2475,2553
"132 Östra Göteborg","65-74 år","Man",727,731,755,753,772,776,785,777,559,594,607,628,665,699,741,765
"132 Östra Göteborg","65-74 år","Kvinna",800,800,827,857,855,867,854,848,632,627,611,622,642,681,718,745
"132 Östra Göteborg","75-84 år","Man",663,618,569,523,485,457,438,430,245,251,259,268,270,278,300,322
"132 Östra Göteborg","75-84 år","Kvinna",937,887,834,777,724,673,642,612,365,381,388,410,403,400,424,429
"132 Östra Göteborg","85- år","Man",231,235,226,236,224,220,223,231,41,37,41,55,58,61,61,64
"132 Östra Göteborg","85- år","Kvinna",490,496,498,479,480,470,461,441,90,96,114,125,137,135,141,150
"133 Örgryte-Härlanda","0 år","Man",422,408,415,382,384,400,394,407,..,..,..,6,..,..,..,..
"133 Örgryte-Härlanda","0 år","Kvinna",381,368,418,385,386,439,395,402,..,..,..,..,..,..,..,..
"133 Örgryte-Härlanda","1-5 år","Man",1289,1364,1415,1443,1395,1459,1418,1434,38,41,46,49,55,64,70,66
"133 Örgryte-Härlanda","1-5 år","Kvinna",1189,1272,1338,1354,1363,1430,1457,1442,48,40,42,45,53,54,53,55
"133 Örgryte-Härlanda","6-15 år","Man",2104,2078,2050,2025,2068,2095,2125,2170,112,118,118,128,136,152,174,153
"133 Örgryte-Härlanda","6-15 år","Kvinna",1847,1809,1807,1846,1848,1910,1953,2016,108,112,125,117,120,142,153,158
"133 Örgryte-Härlanda","16-18 år","Man",742,734,762,759,705,630,611,648,46,41,38,37,55,60,76,80
"133 Örgryte-Härlanda","16-18 år","Kvinna",735,715,698,660,650,610,579,534,40,39,47,38,51,64,56,59
"133 Örgryte-Härlanda","19-24 år","Man",2216,2287,2320,2417,2422,2516,2500,2389,313,336,335,310,264,276,288,316
"133 Örgryte-Härlanda","19-24 år","Kvinna",2580,2716,2794,2927,2884,2911,2874,2782,310,321,305,281,249,259,258,267
"133 Örgryte-Härlanda","25-44 år","Man",8624,8746,8672,8725,8634,8631,8690,8710,1627,1760,1810,1912,1886,1984,2108,2092
"133 Örgryte-Härlanda","25-44 år","Kvinna",8444,8398,8407,8365,8458,8615,8672,8683,1492,1638,1694,1790,1818,1829,1897,1927
"133 Örgryte-Härlanda","45-64 år","Man",4844,4895,4964,5046,5116,5170,5152,5171,899,968,990,1010,1050,1093,1090,1102
"133 Örgryte-Härlanda","45-64 år","Kvinna",5234,5360,5447,5519,5584,5622,5634,5577,905,942,971,1011,1029,1076,1114,1135
"133 Örgryte-Härlanda","65-74 år","Man",1193,1295,1383,1474,1537,1630,1741,1840,255,269,269,284,298,316,329,327
"133 Örgryte-Härlanda","65-74 år","Kvinna",1446,1517,1585,1655,1742,1862,1969,2052,252,264,279,285,303,312,324,359
"133 Örgryte-Härlanda","75-84 år","Man",955,912,872,830,834,815,809,799,119,125,125,136,139,142,146,149
"133 Örgryte-Härlanda","75-84 år","Kvinna",1706,1560,1472,1367,1319,1273,1250,1221,214,220,216,216,204,205,204,203
"133 Örgryte-Härlanda","85- år","Man",578,561,552,527,511,488,458,425,32,36,42,40,36,36,41,44
"133 Örgryte-Härlanda","85- år","Kvinna",1505,1462,1416,1381,1305,1234,1165,1126,86,89,99,98,107,108,111,103
"134 Centrum","0 år","Man",370,391,401,406,408,348,405,395,..,..,..,..,..,..,..,7
"134 Centrum","0 år","Kvinna",321,417,375,401,375,387,379,383,..,..,5,..,..,..,..,..
"134 Centrum","1-5 år","Man",960,992,1031,1071,1108,1114,1079,1081,37,36,35,46,50,50,69,73
"134 Centrum","1-5 år","Kvinna",931,970,1011,1058,1109,1093,1113,1074,53,53,48,49,67,66,59,64
"134 Centrum","6-15 år","Man",1047,1083,1066,1084,1157,1209,1234,1296,66,63,79,81,98,102,105,143
"134 Centrum","6-15 år","Kvinna",935,974,1000,1044,1096,1176,1197,1246,80,88,94,116,138,140,162,165
"134 Centrum","16-18 år","Man",471,442,454,461,458,446,426,407,25,27,26,21,26,30,39,49
"134 Centrum","16-18 år","Kvinna",474,455,422,421,427,412,425,432,28,40,44,44,39,48,51,62
"134 Centrum","19-24 år","Man",3270,3270,3301,3388,3498,3577,3656,3615,551,552,514,432,360,354,335,384
"134 Centrum","19-24 år","Kvinna",3259,3274,3388,3556,3613,3700,3824,3633,476,502,480,433,418,421,429,409
"134 Centrum","25-44 år","Man",9776,9819,9871,9958,9828,9787,9758,9794,2265,2501,2752,2902,2766,2767,2815,2812
"134 Centrum","25-44 år","Kvinna",8081,8126,8121,8177,8227,8091,8217,8388,1948,2148,2331,2539,2510,2514,2548,2620
"134 Centrum","45-64 år","Man",4751,4803,4825,4866,4922,4904,4926,5035,978,1003,1068,1123,1178,1207,1212,1265
"134 Centrum","45-64 år","Kvinna",5065,5069,5086,5084,5102,5081,5072,5079,1069,1113,1174,1241,1279,1332,1399,1451
"134 Centrum","65-74 år","Man",1316,1465,1617,1741,1895,2019,2117,2147,239,260,280,308,328,348,382,383
"134 Centrum","65-74 år","Kvinna",1604,1763,1889,2033,2200,2304,2407,2501,286,283,301,322,343,378,414,433
"134 Centrum","75-84 år","Man",762,722,701,694,695,723,758,798,128,131,132,127,131,134,147,162
"134 Centrum","75-84 år","Kvinna",1360,1288,1242,1195,1146,1153,1127,1120,206,201,202,189,190,202,198,204
"134 Centrum","85- år","Man",448,427,406,398,374,336,319,318,33,39,39,45,50,49,53,55
"134 Centrum","85- år","Kvinna",1222,1208,1153,1087,1026,942,916,889,99,106,109,123,120,125,133,136
"135 Majorna-Linné","0 år","Man",486,524,573,541,511,489,506,482,..,..,..,..,..,..,7,..
"135 Majorna-Linné","0 år","Kvinna",529,522,513,477,513,459,435,419,..,..,..,..,..,..,..,..
"135 Majorna-Linné","1-5 år","Man",1523,1562,1631,1706,1763,1753,1751,1722,45,42,46,44,42,47,66,65
"135 Majorna-Linné","1-5 år","Kvinna",1402,1544,1657,1710,1716,1735,1667,1601,59,56,58,53,58,51,65,62
"135 Majorna-Linné","6-15 år","Man",1857,1826,1815,1849,1846,1959,1980,2036,75,84,86,92,96,96,109,132
"135 Majorna-Linné","6-15 år","Kvinna",1839,1764,1754,1814,1833,1899,1979,2085,97,109,117,133,136,152,168,170
